nome,kcal,proteina,carbo,gordura
"Arroz com frango e pequi, c/ arroz integral, c/ sal (arroz integral, frango, pequi, salsa, c/ óleo, cebola e alho, c/ pimenta-do-reino, c/ sal)",181,"11,9","11,9","10,2"
"Arroz com frango e pequi, c/ arroz integral, s/ sal (arroz integral, frango, pequi, salsa, c/ óleo, cebola e alho, c/ pimenta-do-reino, s/ sal)",182,"11,9","11,9","10,2"
"Arroz com frango e pequi, c/ arroz polido, c/ sal (arroz polido, frango, pequi, salsa, c/ óleo, cebola e alho, c/ pimenta-do-reino, c/ sal)",190,"11,8","14,4","9,99"
"Arroz com frango e pequi, c/ arroz polido, s/ sal (arroz polido, frango, pequi, salsa, c/ óleo, cebola e alho, c/ pimenta-do-reino, s/ sal)",190,"11,8","14,4","9,99"
"Arroz com frango, c/ arroz integral, c/ sal (arroz integral, c/ frango, tomate, cenoura, c/ óleo, cebola e alho, c/ sal)",122,"7,13","15,4","3,99"
"Arroz com frango, c/ arroz integral, s/ sal (arroz integral, c/ frango, tomate, cenoura, c/ óleo, cebola e alho, s/ sal)",123,"7,16","15,4","4,01"
"Arroz com frango, c/ arroz polido, c/ sal, Brasil [arroz polido, c/ frango (coxa), cenoura, molho de tomate, c/ óleo, cebola e alho, c/ sal]",121,"7,1","17,5","2,85"
"Arroz com frango, c/ arroz polido, s/ sal (arroz polido, c/ frango, tomate, cenoura, c/ óleo, cebola e alho, s/ sal)",139,"7,2","19,6","3,84"
"Arroz com frutos do mar, c/ arroz integral, c/ sal (arroz integral, c/ camarão, lula, mexilhão, tomate, pimentão amarelo e vermelho, c/ óleo, cebola e alho, c/ sal)",107,"9,27","12,2","2,68"
"Arroz com frutos do mar, c/ arroz integral, s/ sal (arroz integral, c/ camarão, lula, mexilhão, tomate, pimentão amarelo e vermelho, c/ óleo, cebola e alho, s/ sal)",108,"8,72",13,"2,65"
"Arroz com frutos do mar, c/ arroz polido, c/ sal (arroz polido, c/ camarão, lula, mexilhão, tomate, pimentão amarelo e vermelho, c/ óleo, cebola e alho, c/ sal)",116,"9,81","13,8","2,56"
"Arroz com frutos do mar, c/ arroz polido, s/ sal (arroz polido, c/ camarão, lula, mexilhão, tomate, pimentão amarelo e vermelho, c/ óleo, cebola e alho, s/ sal)",118,"8,7","15,8","2,45"
"Arroz com grãos, c/ arroz integral, c/ sal (arroz integral, cevada, quinoa, linhaça, gergelim, c/ óleo de soja, cebola e alho, c/ sal)",161,"4,7","24,1","6,19"
"Arroz com jambu, c/ arroz integral, c/ sal (arroz integral, jambu, c/ óleo, cebola e alho, c/ sal)",108,"2,61","19,4","2,78"
"Arroz com jambu, c/ arroz integral, s/ sal (arroz integral, jambu, c/ óleo, cebola e alho, s/ sal)",108,"2,62","19,4","2,79"
"Arroz com jambu, c/ arroz polido, c/ sal (arroz polido, jambu, c/ óleo, cebola e alho, c/ sal)",125,"2,56",24,"2,45"
"Arroz com jambu, c/ arroz polido, s/ sal (arroz polido, jambu, c/ óleo, cebola e alho, s/ sal)",125,"2,58",24,"2,46"
"Arroz com legumes, c/ arroz integral, c/ sal (arroz integral, c/ cenoura, pimentão amarelo e vermelho, ervilha e milho em conserva, abobrinha, brócolis, c/ óleo, cebola e alho, c/ sal)",104,"2,51","18,7","2,77"
"Arroz com legumes, c/ arroz integral, s/ sal (arroz integral, c/ cenoura, pimentão amarelo e vermelho, ervilha e milho em conserva, abobrinha, brócolis, c/ óleo, cebola e alho, s/ sal)",109,"2,76","19,6","2,79"
"Arroz com legumes, c/ arroz polido, c/ sal (arroz polido, c/ cenoura, pimentão amarelo e vermelho, ervilha e milho em conserva, abobrinha, brócolis, c/ óleo, cebola e alho, c/ sal)",118,"2,47","22,3","2,5"
"Arroz com legumes, c/ arroz polido, s/ sal (arroz polido, c/ cenoura, pimentão amarelo e vermelho, ervilha e milho em conserva, abobrinha, brócolis, c/ óleo, cebola e alho, s/ sal)",122,"2,72","23,3","2,52"
"Arroz com lentilha, c/ arroz polido, c/ sal (arroz polido, c/ lentilha, tomate, linguiça, c/ óleo, cebola e alho, c/ sal)",144,"5,21","20,2","5,23"
"Arroz com lentilha, c/ arroz polido, s/ sal (arroz polido, c/ lentilha, tomate, linguiça, c/ óleo, cebola e alho, s/ sal)",145,"5,24","20,3","5,26"
"Arroz com linguiça, c/ arroz integral, c/ sal (arroz integral, c/ linguiça, tomate, c/ óleo, cebola e alho, c/ sal)",153,"6,5","15,6","7,56"
"Arroz com linguiça, c/ arroz integral, s/ sal (arroz integral, c/ linguiça, tomate, c/ óleo, cebola e alho, s/ sal)",154,"6,53","15,7","7,6"
"Arroz com linguiça, c/ arroz polido, c/ sal (arroz polido, c/ linguiça, tomate, c/ óleo, cebola e alho, c/ sal)",166,"6,47","19,3","7,3"
"Arroz com linguiça, c/ arroz polido, s/ sal (arroz polido, c/ linguiça, tomate, c/ óleo, cebola e alho, s/ sal)",167,"6,5","19,4","7,34"
"Arroz com macarrão (aletria, cabelo de anjo),  c/ arroz polido, c/ sal (arroz polido, macarrão, c/ manteiga, c/ óleo, cebola e alho, c/ sal)",170,"2,68","26,4","6,24"
"Arroz com mexilhão (marisco lambe-lambe), c/ arroz polido, c/ sal (arroz polido, mexilhão, tomate, pimentão vermelho, salsa, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ pimenta-do-reino, c/ sal)",103,"6,24","13,9","2,78"
"Arroz com mexilhão (marisco lambe-lambe), c/ arroz polido, s/ sal (arroz polido, mexilhão, tomate, pimentão vermelho, salsa, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ pimenta-do-reino, s/ sal)",104,"6,26",14,"2,78"
"Arroz com nozes, c/ arroz integral, c/ sal (arroz integral, c/ noz, c/ óleo, cebola e alho, c/ sal)",204,"4,22","21,9","11,7"
"Arroz com nozes, c/ arroz integral, s/ sal (arroz integral, c/ noz, c/ óleo, cebola e alho, s/ sal)",205,"4,23",22,"11,7"
"Arroz com nozes, c/ arroz polido, c/ sal (arroz polido, c/ noz, c/ óleo, cebola e alho, c/ sal)",222,"4,17","26,8","11,4"
